Kabupaten/Kota,Jumlah Sekolah SD (Negeri),Jumlah Sekolah SD (Swasta),Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri),Jumlah Guru SD (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri),Jumlah Murid SD (Swasta),Jumlah Murid SD (Negeri+Swasta)
Lampung Barat,178,37,215,1985,202,2187,26262,2838,29100
Tanggamus,400,9,409,4609,120,4729,56947,2014,58961
Lampung Selatan,472,24,496,5705,309,6014,94438,4570,99008
Lampung Timur,538,36,574,6188,374,6562,87240,6058,93298
Lampung Tengah,683,58,741,7387,614,8001,119535,9937,129472
Lampung Utara,412,22,434,4573,306,4879,57409,4411,61820
Way Kanan,298,15,313,3547,136,3683,48257,2023,50280
Tulangbawang,178,38,216,2450,392,2842,39523,7391,46914
Pesawaran,302,11,313,3301,112,3413,41991,1294,43285
Pringsewu,252,12,264,2813,156,2969,36760,3279,40039
Mesuji,127,7,134,1507,59,1566,24199,748,24947
Tulang Bawang Barat,164,10,174,1856,107,1963,28828,1879,30707
Pesisir Barat,121,5,126,1569,44,1613,17416,702,18118
Kota Bandar Lampung,184,71,255,3631,1648,5279,70421,23598,94019
Kota Metro,47,15,62,724,311,1035,10491,5504,15995
Lampung,4356,370,4726,51845,4890,56735,759717,76246,835963
