Kabupaten/Kota,Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri+Swasta)
Lampung Barat,216,2185,27775
Tanggamus,404,4739,56389
Lampung Selatan,502,5984,96997
Lampung Timur,578,6303,88139
Lampung Tengah,752,8857,122268
Lampung Utara,435,5066,58847
Way Kanan,317,3743,48159
Tulangbawang,220,2899,44191
Pesawaran,299,3340,41799
Pringsewu,265,3010,38367
Mesuji,135,1648,24456
Tulang Bawang Barat,176,2081,29470
Pesisir Barat,127,1638,17960
Kota Bandar Lampung,241,5069,88925
Kota Metro,65,1149,15877
