Kabupaten/Kota,Jumlah Sekolah SD (Negeri),Jumlah Sekolah SD (Swasta),Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri),Jumlah Guru SD (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri),Jumlah Murid SD (Swasta),Jumlah Murid SD (Negeri+Swasta)
Lampung Barat,179,37,216,1974,190,2164,25118,2666,27784
Tanggamus,395,9,404,4805,118,4923,54890,2047,56937
Lampung Selatan,472,36,508,5460,435,5895,91742,6976,98718
Lampung Timur,531,49,580,5610,432,6042,77157,8043,85200
Lampung Tengah,683,73,756,8009,775,8784,109574,11172,120746
Lampung Utara,398,25,423,4551,384,4935,53152,5229,58381
Way Kanan,298,21,319,3552,190,3742,45209,2451,47660
Tulangbawang,178,42,220,2516,441,2957,36734,6892,43626
Pesawaran,284,18,302,3164,132,3296,39632,2380,42012
Pringsewu,251,17,268,2732,199,2931,34821,3515,38336
Mesuji,127,7,134,1598,59,1657,23685,1004,24689
Tulang Bawang Barat,164,13,177,1922,162,2084,25937,2605,28542
Pesisir Barat,122,5,127,1857,43,1900,17231,992,18223
Kota Bandar Lampung,166,77,243,3493,1695,5188,66790,23906,90696
Kota Metro,47,18,65,749,407,1156,10020,6398,16418
Lampung,4295,447,4742,51992,5662,57654,711692,86276,797968
